"Date","week.number","Species","Type","Alive","Latitude","Longitude"
"2010-08-11",33,"Lepidochelys kempii","turtles","N",29.76117,-93.13589
"2010-08-18",34,"Chelonia mydas","turtles","N",29.13247,-90.14288
"2010-08-20",34,"Lepidochelys kempii","turtles","N",29.74752,-91.86954
"2010-08-20",34,"Lepidochelys kempii","turtles","N",29.10048,-90.1919
"2010-08-23",35,"Lepidochelys kempii","turtles","N",29.15677,-90.64207
"2010-08-23",35,"Lepidochelys kempii","turtles","N",29.16,-90.64
"2010-08-24",35,"Caretta caretta","turtles","N",29.19,-90.35333
"2010-08-24",35,"Unknown","turtles","N",29.22363,-90.55563
"2010-08-24",35,"Unknown","turtles","N",29.11822,-90.63955
"2010-08-26",35,"Unknown","turtles","N",29.22496,-90.56473
"2010-08-29",35,"Caretta caretta","turtles","N",29.22043,-90.01305
"2010-09-05",36,"Caretta caretta","turtles","N",29.22933,-90.47467
"2010-09-05",36,"Caretta caretta","turtles","N",29.25102,-90.32436
"2010-09-03",36,"Lepidochelys kempii","turtles","N",29.75261,-93.63581
"2010-09-05",36,"Lepidochelys kempii","turtles","N",29.76706,-93.5126
"2010-09-08",37,"Lepidochelys kempii","turtles","N",29.18889,-90.66667
"2010-09-09",37,"Lepidochelys kempii","turtles","N",29.15056,-90.2805
"2010-09-10",37,"Unknown","turtles","N",29.17544,-89.34372
"2010-09-10",37,"Caretta caretta","turtles","N",29.763028,-93.342164
"2010-04-26",18,"Lepidochelys kempii","turtles","N",30.3088,-89.3259
"2010-04-30",18,"Lepidochelys kempii","turtles","N",30.2941,-89.3432
"2010-04-30",18,"Lepidochelys kempii","turtles","N",30.2641,-89.392
"2010-04-30",18,"Lepidochelys kempii","turtles","N",30.2726,-89.3775
"2010-04-30",18,"Lepidochelys kempii","turtles","N",30.2736,-89.3764
"2010-04-30",18,"Lepidochelys kempii","turtles","Y",30.3478,-89.139
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.31481,-89.24207
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.31071,-89.25556
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.3146,-89.24252
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.3108,-89.25728
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.31295,-89.24477
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.31082,-89.25535
"2010-05-01",18,"Lepidochelys kempii","turtles","N",30.4098,-88.8408
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.319,-89.3223
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.2883,-89.36
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.2868,-89.3626
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.3065,-89.26858
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.30725,-89.26653
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.30562,-89.32865
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.32834,-89.19923
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.30529,-89.27249
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.3262,-89.20892
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.3246,-89.2145
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.39289,-88.94716
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.28865,-89.3529
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.32824,-89.19985
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.33144,-89.18568
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.32144,-89.22351
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.3075,-89.26659
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.31558,-89.29004
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.30525,-89.27421
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.30989,-89.25963
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.26362,-89.39346
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.2867,-89.36321
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.35567,-89.11807
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.2412,-89.4247
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.36948,-89.07825
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.39169,-88.95027
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.39271,-88.87608
"2010-05-05",19,"Lepidochelys kempii","turtles","N",30.27834,-89.37222
"2010-05-05",19,"Lepidochelys kempii","turtles","N",30.37689,-89.04778
"2010-05-06",19,"Lepidochelys kempii","turtles","N",30.27006,-89.38032
"2010-05-06",19,"Lepidochelys kempii","turtles","N",30.30022,-89.33346
"2010-05-06",19,"Lepidochelys kempii","turtles","N",30.32762,-89.20251
"2010-05-06",19,"Lepidochelys kempii","turtles","N",30.2508,-88.9412
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.25685,-89.41499
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.26483,-89.3904
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.26471,-89.3907
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.3032,-89.2957
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.28749,-89.36136
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.2879,-89.36065
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.36129,-89.10089
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.33749,-89.16818
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.32775,-89.20048
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.31166,-89.25018
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.30335,-89.28335
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.28267,-89.36761
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.39147,-88.95452
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.39385,-88.91407
"2010-05-08",19,"Caretta caretta","turtles","N",30.22831,-88.64799
"2010-05-09",19,"Lepidochelys kempii","turtles","N",30.313,-89.2483
"2010-05-09",19,"Lepidochelys kempii","turtles","N",30.3119,-89.2905
"2010-05-09",19,"Lepidochelys kempii","turtles","N",30.3825,-89.0228
"2010-05-09",19,"Lepidochelys kempii","turtles","N",30.3815,-89.0261
"2010-05-10",20,"Lepidochelys kempii","turtles","N",30.3896,-88.8419
"2010-05-10",20,"Lepidochelys kempii","turtles","N",30.2941,-89.3591
"2010-05-11",20,"Caretta caretta","turtles","N",30.3232,-89.2184
"2010-05-12",20,"Lepidochelys kempii","turtles","N",30.35582,-89.11698
"2010-05-12",20,"Lepidochelys kempii","turtles","N",30.33215,-89.18207
"2010-05-12",20,"Lepidochelys kempii","turtles","N",30.25117,-89.42138
"2010-05-12",20,"Lepidochelys kempii","turtles","N",30.29545,-89.3408
"2010-05-12",20,"Lepidochelys kempii","turtles","N",30.26715,-89.38553
"2010-05-13",20,"Lepidochelys kempii","turtles","N",30.3098,-89.32553
"2010-05-13",20,"Caretta caretta","turtles","N",30.2115,-88.9848
"2010-05-14",20,"Lepidochelys kempii","turtles","N",30.28248,-89.36733
